,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
27,999999,10935,7502,6286,11163,6417,7265,5816,5891,6546,3929,5464,6523,8504,4386,3361,2935,3624,5651,3320,3850,6051,7804,1661,1734,6688,1445,0,970,4459,1109,2365,2006,6681,4116,5457,48034
28,999999,11327,8084,6250,10509,7008,6611,5808,5314,5892,4476,4810,5869,7797,5148,4123,3697,3456,4997,2679,3196,5398,7097,2423,1818,5981,2415,970,0,3732,1737,1436,2537,7340,4019,5301,47307
29,999999,13271,11174,8185,8379,10291,7088,8401,6758,5614,7657,5123,4736,4820,8635,7610,7184,6410,4022,4463,3736,3052,4071,5910,5051,2636,5904,4459,3732,0,5214,2741,5419,9907,4616,6486,43580
30,999999,12028,8412,7387,12201,7112,8303,6916,6890,7584,5030,6503,7561,9474,5080,4055,3629,4662,6689,4318,4874,7076,8774,2355,2765,7658,2139,1109,1737,5214,0,2438,1368,6092,3781,4955,48632
31,999999,12060,9475,7017,10381,8400,6654,6944,5772,5962,5895,4853,5880,7197,6566,5541,5115,4895,4979,2894,3221,5050,6497,3841,3256,5342,3809,2365,1436,2741,2438,0,3056,7777,2873,4986,46320
32,999999,12834,9402,8187,13005,8251,9107,7716,7690,8388,5830,7306,8365,9935,6219,5194,4768,5462,7493,5118,5674,7774,9244,3494,3565,8022,3278,2006,2537,5419,1368,3056,0,4803,2860,3711,48652
33,999999,16500,12023,11912,17403,10300,13162,11441,11615,12614,9558,11545,12763,14423,8221,7173,7299,9412,11891,9365,10181,12331,13732,7388,8342,12472,6129,6681,7340,9907,6092,7777,4803,0,5890,5296,52820
34,999999,14691,11259,9820,12417,10184,9457,9573,8574,8346,7686,7652,8264,9132,8336,7311,6885,7102,7363,5697,6024,7085,8441,5611,5267,7011,5395,4116,4019,4616,3781,2873,2860,5890,0,2375,47487
35,999999,16049,12617,11402,14287,11542,11280,10931,10391,10541,9045,9480,10329,11002,9669,8644,8218,8380,9558,7513,7847,8956,10311,6944,6545,8881,6728,5457,5301,6486,4955,4986,3711,5296,2375,0,49360
36,999999,55948,53832,50843,49616,53105,49651,51059,49573,48173,50472,47938,47064,45187,51472,50447,50021,49224,46500,47277,46550,45083,44438,48747,47865,42910,49010,48034,47307,43580,48632,46320,48652,52820,47487,49360,0
