,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
31,780,1110,690,690,520,460,920,690,690,230,460,230,230,460,690,690,460,460,230,230,230,460,460,460,460,460,460,0,0,0,0,0,0,730,0,460,1180,0,0,0,0,0,460,460,450,460,460
32,780,1120,700,930,750,700,1160,930,930,460,700,460,460,460,690,660,690,700,460,700,460,460,460,230,470,460,230,0,230,400,0,0,0,440,230,230,1620,230,230,230,230,460,470,470,0,460,460
33,820,920,500,730,1020,500,960,730,730,730,500,500,730,500,500,440,470,500,500,500,500,500,500,270,270,500,270,270,500,460,440,730,440,0,670,250,1670,270,270,470,470,700,270,270,470,500,500
34,1020,1150,920,1150,980,920,1150,1150,1150,690,920,730,690,690,930,670,700,730,730,730,690,690,690,700,700,690,700,460,230,270,230,0,230,670,0,230,1410,700,700,230,230,0,700,700,0,690,690
35,1040,1140,720,1150,980,750,1150,1150,1150,950,750,720,950,950,930,670,700,720,720,750,720,720,720,700,520,690,520,460,230,460,230,460,230,250,230,0,1660,700,700,230,230,460,520,700,0,690,750
36,1730,1830,1640,1640,860,1640,1640,1640,1640,1080,1640,1080,1080,1410,1640,1640,1640,1640,1080,1180,1180,1410,1410,1410,1410,1410,1410,1410,1180,1500,1410,1180,1620,1670,1410,1660,0,1410,1410,1180,1180,1410,1410,1410,1580,1410,1410
37,550,980,460,460,750,230,460,460,690,460,230,460,460,230,460,460,230,230,460,230,230,230,230,230,230,230,230,230,230,400,460,0,230,270,700,700,1410,0,0,230,230,0,230,230,750,230,230
38,550,980,460,460,750,230,460,460,690,460,230,460,460,230,460,460,230,230,460,230,230,230,230,230,230,230,230,230,230,400,460,0,230,270,700,700,1410,0,0,230,230,0,230,230,460,230,230
39,550,980,460,460,520,230,460,460,690,230,230,230,230,230,460,460,230,230,230,230,230,230,230,230,230,230,230,230,0,240,230,0,230,470,230,230,1180,230,230,0,0,0,230,230,230,230,230
40,550,980,460,460,520,230,460,460,690,230,230,230,230,230,460,460,230,230,230,230,230,230,230,230,230,230,230,230,0,240,230,0,230,470,230,230,1180,230,230,0,0,0,230,230,230,230,230
41,760,880,690,690,710,690,690,690,690,460,460,460,460,690,460,460,690,690,460,0,0,450,690,460,460,460,460,0,0,0,230,0,460,700,0,460,1410,0,0,0,0,0,999999,999999,450,960,999999
42,520,740,230,460,750,230,690,460,690,460,230,230,460,460,230,230,230,230,230,230,230,230,230,0,0,460,230,230,230,190,230,460,470,270,700,520,1410,230,230,230,230,999999,0,230,520,230,230
43,500,740,230,460,710,230,690,460,690,460,230,230,460,460,230,230,230,230,230,230,230,230,230,0,230,460,230,230,230,190,0,460,470,270,700,700,1410,230,230,230,230,999999,230,0,520,230,230
44,960,1380,750,690,1040,750,690,690,690,670,920,690,690,690,750,750,750,920,690,690,750,750,690,520,520,920,520,520,230,600,230,450,0,470,0,0,1580,750,460,230,230,450,520,520,0,690,690
45,320,280,230,460,710,0,690,460,690,460,230,230,230,230,460,460,230,230,230,230,230,230,0,230,230,230,460,230,230,380,460,460,460,500,690,690,1410,230,230,230,230,960,230,230,690,0,230
46,500,740,230,460,710,230,690,460,690,460,230,230,460,460,460,460,230,0,230,230,230,230,230,230,0,460,460,230,230,190,460,460,460,500,690,750,1410,230,230,230,230,999999,230,230,690,230,0
