,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
21,5896,8115,4794,4590,3352,5046,4931,4642,4809,2719,3545,1794,1556,1705,4777,4031,3661,3612,778,1469,1412,0,1114,2905,2326,1604,3886,2736,2100,2941,4731,2981,5027,5703,7163,7390,5054,1827,1827,2562,2562,1800,2042,1951,9118,1012,1562
22,6423,7382,5321,5417,4179,5573,5758,5469,5636,2886,4072,2621,2722,743,5604,5458,5088,4139,1605,2296,2239,1114,0,3648,2753,643,4629,3275,2639,1740,5270,3724,5566,6446,7702,8133,5797,2539,2539,3394,3394,6869,3193,2777,9104,464,2388
23,3920,5479,3298,3694,5274,3550,3435,3799,3428,3981,2049,3236,3817,4407,1848,1772,1309,2116,2850,1711,2134,2905,3648,0,846,4612,1476,1631,1613,1860,2355,3633,2986,3440,4356,4539,6826,1844,1844,2720,2720,4672,680,945,5623,2597,1383
24,3502,5061,2880,3276,4695,3132,3017,3381,3010,3402,1631,2657,3238,3512,2383,1997,1627,1698,2271,1132,1555,2326,2753,846,0,4103,1685,1253,1027,1500,2786,3047,3822,3082,4197,5001,5722,708,708,1339,1339,3048,125,818,6003,2179,794
25,6913,8172,6351,6447,5209,6603,6548,6499,6666,3916,5102,3651,3752,1402,6394,6488,6118,5169,2635,3326,3269,1604,643,4612,4103,0,5230,4296,3240,2316,5871,4325,6167,7047,8303,8486,6398,3029,3029,3884,3884,2520,4223,3807,9894,1008,3418
26,5319,7418,4397,4313,5955,4649,5355,4365,4532,4122,3148,4217,3478,5388,4080,3102,2689,3215,3831,2692,3115,3886,4629,1476,1685,5230,0,1445,2063,3660,2139,3688,2626,2906,3802,4825,8161,1315,1315,2014,2014,4652,1420,1795,6107,3696,2364
27,4685,6904,3965,3881,4804,4315,4661,3933,4100,3511,2814,3568,3347,4034,3566,3361,3005,3267,3399,2260,2624,2736,3275,1631,1253,4296,1445,0,786,2880,1109,2365,2006,2881,2856,3039,6285,921,921,816,816,3193,988,1879,5473,3340,1686
28,4049,6268,3847,3943,3803,3679,4025,3995,4162,3170,2178,2738,2526,3398,2930,3984,2369,2631,2338,1877,1623,2100,2639,1613,1027,3240,2063,786,0,1920,1722,1436,2752,3812,2326,2509,5238,285,285,412,412,2311,838,1243,2721,2704,1050
29,4680,4440,3360,3840,3840,4080,3240,2640,3420,2820,3120,2700,3300,2820,3540,3300,3240,3540,3840,1980,2040,2941,1740,1860,1500,2316,3660,2880,1920,0,3000,3124,2760,4380,3480,2880,5820,1620,1620,1740,1740,2516,1380,1980,2220,2220,1980
30,6260,8479,5198,5247,5816,5450,5828,5299,5466,5176,3949,4744,4532,6029,5141,4808,1800,4016,4344,3793,3629,4731,5270,2355,2786,5871,2139,1109,1722,3000,0,2438,1368,3772,2348,2531,7729,2369,2369,1819,1819,3234,2521,2792,3126,4497,3465
31,6069,8288,5292,5963,4150,5699,6045,6015,6182,2857,4198,2914,2693,4483,4950,5121,4389,4651,2848,2224,1970,2981,3724,3633,3047,4325,3688,2365,1436,3124,2438,0,3056,5896,2873,3199,5802,2179,2179,1117,1117,1111,2858,2748,5013,3789,2359
32,8356,7815,6354,6450,7012,6606,8332,6502,6669,5719,5105,5776,5555,6325,7237,4811,4561,5172,5710,5249,4832,5027,5566,2986,3822,6167,2626,2006,2752,2760,1368,3056,0,3418,1412,1595,6660,2702,2702,1390,1390,3337,3557,3932,2428,5631,3977
33,6716,7339,5614,5710,8072,5866,7592,5762,5929,6779,4365,6034,6615,7205,5561,4431,4181,4432,5648,4509,4932,5703,6446,3440,3082,7047,2906,2881,3812,4380,3772,5896,3418,0,3802,2192,9877,3076,3076,3150,3150,5122,2817,3192,3697,4913,4181
34,8690,9949,8490,9186,7348,8742,8927,9291,8920,7315,7241,7108,6290,8461,7573,5027,4777,6406,6722,5583,6919,7163,7702,4356,4197,8303,3802,2856,2326,3480,2348,2873,1412,3802,0,919,7140,3972,3972,1726,1726,3351,3713,4388,1242,5989,7057
35,9123,9362,7901,9369,7531,7965,9110,9474,9103,8526,6464,7721,7882,8988,7756,5210,4960,6719,7335,6008,6619,7390,8133,4539,5001,8486,4825,3039,2509,2880,2531,3199,1595,2192,919,0,6780,4155,4155,1909,1909,4221,4736,4571,1481,6172,5680
36,9967,13026,8865,10461,2623,9117,10202,10566,10195,4090,7616,4147,3446,6556,8848,9019,7732,7683,4441,4777,4523,5054,5797,6826,5722,6398,8161,6285,5238,5820,7729,5802,6660,9877,7140,6780,0,5363,5363,5489,5489,5880,5578,6021,7260,5862,5632
37,3894,7899,3534,3861,3683,3666,3567,3886,4681,2511,2025,2422,2206,3269,4398,3825,2236,2546,2378,1241,1462,1827,2539,1844,708,3029,1315,921,285,1620,2369,2179,2702,3076,3972,4155,5363,0,0,735,735,2903,830,958,6218,2419,1414
38,3894,7899,3534,3861,3683,3666,3567,3886,4681,2511,2025,2422,2206,3269,4398,3825,2236,2546,2378,1241,1462,1827,2539,1844,708,3029,1315,921,285,1620,2369,2179,2702,3076,3972,4155,5363,0,0,735,735,2903,830,958,5038,2419,1414
39,4525,8530,4165,4492,3861,4297,4255,4517,5404,2689,2656,2600,2384,4004,5029,4456,2867,3177,2556,1895,1676,2562,3394,2720,1339,3884,2014,816,412,1740,1819,1117,1390,3150,1726,1909,5489,735,735,0,0,1944,1191,1596,2340,3079,1474
40,4525,8530,4165,4492,3861,4297,4255,4517,5312,2689,2656,2600,2384,4004,5029,4456,2867,3177,2556,1895,1676,2562,3394,2720,1339,3884,2014,816,412,1740,1819,1117,1390,3150,1726,1909,5489,735,735,0,0,1944,1191,1596,2340,3079,1474
41,4200,66949,5224,6331,3840,5836,6157,6557,6131,2880,4354,2160,2640,7719,4708,5135,5070,4300,2580,3586,3060,1800,6869,4672,3048,2520,4652,3193,2311,2516,3234,1111,3337,5122,3351,4221,5880,2903,2903,1944,1944,0,999999,999999,6025,7721,999999
42,3279,4833,2628,2955,3830,3240,3886,2980,3775,2658,1599,2906,2353,3989,1959,2123,1621,1704,2345,1193,1664,2042,3193,680,125,4223,1420,988,838,1380,2521,2858,3557,2817,3713,4736,5578,830,830,1191,1191,999999,0,557,5742,1918,766
43,2752,4417,2212,2539,3793,2824,3470,2564,3359,2621,1183,2490,2316,3573,1398,1562,800,1288,1929,777,1248,1951,2777,945,818,3807,1795,1879,1243,1980,2792,2748,3932,3192,4388,4571,6021,958,958,1596,1596,999999,557,0,6205,1539,819
44,8719,53284,8599,8566,10192,9211,8392,8792,8366,2700,7630,8817,9343,9954,9463,8890,8531,7735,8256,7378,8007,9118,9104,5623,6003,9894,6107,5473,2721,2220,3126,5013,2428,3697,1242,1481,7260,6218,5038,2340,2340,6025,5742,6205,0,6505,7573
45,1595,2309,755,2582,4834,1521,3513,2607,3402,3662,1106,2811,2617,750,3119,3866,2097,1751,1661,2298,2289,1012,464,2597,2179,1008,3696,3340,2704,2220,4497,3789,5631,4913,5989,6172,5862,2419,2419,3079,3079,7721,1918,1539,6505,0,2205
46,3836,4961,2756,3083,3404,3368,4014,3108,3903,2232,1727,2101,1927,3184,3407,2834,2178,1525,1540,388,859,1562,2388,1383,794,3418,2364,1686,1050,1980,3465,2359,3977,4181,7057,5680,5632,1414,1414,1474,1474,999999,766,819,7573,2205,0
