place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJk54PuAGqAWARwEgz_9o-nM0,9fb1b28c4a4f4af98f267bd2cd5165d0d23a1cf7,Tenryuji Temple,35.0157168,135.6737441,4.4,5660,"68 Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJHw9S2xqqAWARqO_fgtu1Nz4,4e7a59f29e5447640c9c6e344a00752e1d8f3808,Jōjakkōji Temple常寂光寺,35.0196114,135.6689385,4.6,950,"3 Sagaogurayama Oguracho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJiRisBgGqAWARMFGM32XGEyo,189f5b85ff4e2368da199888287ff75bccf0e440,Hogonin Temple,35.014788,135.673706,4.3,324,"Kyoto, Ukyo Ward, 嵯峨天龍寺芒ノ馬場町36","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJiXckvQ-qAWARgn5H8puQ3sU,3945b095dffacebc75491c5dd6ecf662be8787f7,Senkoji Temple,35.015801,135.665565,4.5,165,"62 Arashiyama Nakaoshitacho, Nishikyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJrUo_dAGqAWAR3VNT-qi1jW4,d5cb95440f4d6b1e96eeee71cef9dd10874d9477,Shoganji Temple,35.016255,135.6749029,3.8,8,"Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJOWaHwQGqAWARPiajLTq4C3M,be7239a98f8a6e71e52457f49b5be45d2b116a3d,Jisai-in Temple,35.016224,135.675392,3.7,9,"６８ Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ8wDtuVQHAWARG8g2tMLbRA0,dff8adebc299828eafc2aa9f64f1113d6b19f853,Hōrinji Temple,35.0101205,135.6774639,4.1,364,"Arashiyama Kokuzoyamacho, Nishikyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJnziLgwOqAWARp5Blzdp_a30,3528c759a6c4351bf182be1a6c8506b5a254d07e,Shokaku-ji Temple,35.017879,135.671912,4.3,3,"12 Saganonomiyacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJfx5IfgOqAWARs-wz4ohN2m4,513cd143f894fa67c57d8b46ef48f2539b83a7f8,Anryu-ji Temple,35.0186831,135.6718032,3.2,5,"11-5 Saganonomiyacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJd2qd6hqqAWARdGhj_Pm63Ao,5bc862140c99700ba9726293a3656af35d98ddbf,Jyōjakkō-ji Temple Kaizan-do,35.0197244,135.6681722,4,1,"Sagaogurayamacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ53rw2wGqAWAR13Z-W-53KLI,7913823af509b0e00ed9f825a9a4d5482654eb19,Kogenji Temple,35.016296,135.675945,3.9,39,"65 Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJt8K9e_-pAWARRnwI-hoXxP4,aa2b9f2e87bc9b54ec36c39d0b08433281104966,Sanshu-in Temple,35.016241,135.676719,3.6,18,"64 Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJlT9-df-pAWARGSc_TmhGDGU,6062d6f8b08a51645ef8942386942fbab4d45a06,Nanhou-in Temple,35.0160154,135.6769283,3.6,7,"64 Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJlT9-df-pAWARDSewah0asFw,3fae96600594c07ab31305c704cd9b2b9b458e2f,Kongo-in Temple,35.016171,135.677367,4,8,"14 Sagatenryuji Kitatsukurimichicho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJT7zgwBqqAWAR_kxj3EjQWX4,7ed14ed7ea8613a89c5fa68b2e647bb7776e6a16,Tahoto Tower,35.0194511,135.6681879,4.5,13,"3 Sagaogurayama Oguracho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJuaeJMwKqAWAR_YOYeQIx9Lc,f3120ebe8578a10a965d1d39c0fc2da2f41bcce4,Nonomiya Shrine,35.0177918,135.6741863,4,1154,"1 Saganomiyanomotocho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJh-r_1VQHAWARVGdKDtfEeH4,78f94c8848910b913ea86698993e07607d9e8225,Ichitani-Munakata-Jinja Shrine,35.0114148,135.6764592,3.7,18,"61 Arashiyama Nakaoshitacho, Nishikyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ48cG8ASqAWAREjzai1soV-o,625ec1d97ad93f417609c1b54edaf75310d48937,Mikami-jinja Shrine,35.01766,135.6697769,4,173,"10-2 Sagaogurayama Tabuchiyamacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJdXdylqoAAWARtr3vq-I9P-E,e7d5fc9223bc2065f8496f7b5656abd95f2815cc,Zaō Daigongen Shrine,35.0121019,135.6750759,5,1,"Arashiyama Genrokuzancho, Nishikyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJf1542P-pAWARO2JatpmdOcY,41ff40c64c56adb5c37b2f53b071ffad05fd709c,Oi-Jinja Shrine,35.0142528,135.6779996,3.5,14,"36 Sagatenryuji Tsukurimichicho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJV8NWZ1UHAWARjGLgxj3KF6g,2e00ae47fa2c678151331bf6ffd3b3e2db5cca47,Kurumazaki-jinja Shrine Arashiyama Tongu,35.0137309,135.677542,3.7,6,"1-5 Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJgRXwKlUHAWARJrmEX3l6814,8b3544d78438eb99227c7d6fdcbae6dfd909b1cb,Matsunoo Shrine,35.0114148,135.6764592,0,0,"61 Arashiyama Nakaoshitacho, Nishikyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJx1jrnVQHAWARrRnhRTp-yL4,ea95122030cb7e0b25d41c7a1ad7fc47714526ac,Dendengu,35.0098054,135.6778933,4.1,64,"４２-25 Arashiyama Nakaoshitacho, Nishikyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJBXg5K_6pAWARfvg61PmTyP8,2dbb7759c690ca00317baf3eb0c7dec752275ea4,Rinsen-ji Temple,35.0149913,135.6792252,4.1,44,"33 Sagatenryuji Tsukurimichicho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ4VCjjv2pAWARHwhh2-yIUBc,45643ef47c580c320af34d1b27e166419ecad75a,Shinjozan Myorinji Temple,35.0166793,135.6825892,0,0,"14-1 Sagatenryuji Imahoricho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ0Yeq4lUHAWARlSwOfJ6QNDE,2acdd754fc37ab3a46b866484fb2f21d3bf03b21,角倉稲荷神社,35.0151031,135.6810662,4.5,4,"Sagatenryuji Suminokuracho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
