place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJIbf7buqnAWARHsGO5OAw6Lw,8ba9c3680cf588cc57a468e029fbd10cf2749a29,Kojaku-ji Temple,35.07253,135.76777,2,1,"７３８ー１ Shizuichiichiharacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ8UZpSr2nAWARNW2SQqhdmnk,6e1633640a1e0f6ebd7d905fd8361a89eb53b301,"Akai (holy water rack), Daiun-ji Temple",35.0799647,135.7803376,4,8,"303 Iwakura Aguracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJETtoS5inAWARVcpV7UMPZHk,95d68126a67e0bf5a6d43061d22bd8c66c9efec6,Jonen-ji Temple,35.077518,135.78198,3.3,3,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ6TVinKKnAWARD26YRrdYEpc,190619d1b862e8e5367cff1bff8182e810d9fddb,Daiun-ji Temple (former Fuji-no-bo site),35.079951,135.782163,3.3,10,"305 Iwakura Aguracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ1xSgbZinAWARVKiFJfxIat8,781e983f2df35b49b9dcd80f34c2c96678d7bdde,Jissoin Temple Shikyaku-Mon,35.07898369999999,135.781875,3.8,6,"Iwakura Aguracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ2UQVaZSnAWAR_Y4MwTeWHGg,b0ed772ed5270538a3ac36beac0228ab6ce43c87,Kino-atago-jinja Shrine,35.0725798,135.774238,4.4,5,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJNcTVl6KnAWARPMfqK9gShec,d104972ecf0c61fad9bb41ab8470ec2b2894ba1e,Junisho-myojin Shrine,35.0802201,135.7817714,4,1,"305 Iwakura Aguracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJwzvGl6KnAWARViV0pga0UVo,a1942e26b507822385baff11b28bfb74ec0cb951,Iwakura Shrine Higashiyashiro,35.0801908,135.7817886,0,0,"Iwakura Aguracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJzS15l6KnAWARcdRr5XqDTaA,b9b174f41beaf93fdd05bbb8760da7f46fe4a22f,Hitokoto-jinja Shrine,35.0802278,135.7818864,4,2,"305 Iwakura Aguracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJS46OfvKnAWAR9EkAN2jy4zk,6bbc4f1f9f16b9fcbbbe49162502543b4d758e97,Entsū-ji Temple,35.06438680000001,135.7686777,4.4,131,"389 Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJXdigDJKnAWARLCP49WnYdJk,5a889d921e7219637adea1adbff976be5b007fde,Myōman-ji Temple,35.067605,135.774592,4.2,94,"91 Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJPaBHc4ynAWARTYB6858WKaE,a3406447b22362159370b50813ee4a5ee6b8d230,Aizen-in Temple,35.06308840000001,135.7747805,0,0,"1035 Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJv3iaDI2nAWAR4Xv86PI6LFQ,b3afdaf28d8912dc5b5186a6a7f659582b8c17e4,Senshu-ji Temple,35.0654477,135.7731012,2,3,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJb8dmZfKnAWARDqy9nzIOanc,75ae1c14e6885a2a74f67a362a75d453e71cc4df,Reisen-an temple,35.0637926,135.7681149,0,0,"364 Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJazbdEYmnAWARhBetmzHEpvE,4b27ce1133217a36189195622d8fdd201985ef47,Honkō-in Temple,35.0626014,135.7773891,0,0,"Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ8_RAM7axBGARqxkeg649p2g,42c6b32046469bb1e5e4c5c73da14b1974bcb128,Jisso-in Temple (Jisso-in Monzeki),35.078964,135.7816533,3.9,238,"121 Iwakura Aguracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJfa-mcomnAWAR2Hs7C2M5_2E,e90eb2747691bd94a52639bc63a40f691f49049b,Shin'yō-in Temple,35.062345,135.776878,0,0,"1067-15 Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJgfkopSOnAWARv-ju6e1TfPY,66d2a42528305c3af6dfa9a5716aaf8f20b4c7f8,Fudō-dō Temple,35.0606418,135.766122,0,0,"Kamigamo Hazamacho, Kita Ward, Kita Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ28CqzeynAWARgQH3PrjVjw8,4fa8f588813f66048224558c9b63b4480f0a1f8a,Kifune-jinja Shrine,35.068618,135.7709027,3.9,7,"576 Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJVVU5zeynAWAReBQ2V7ek0js,36aa24879f24e226be7314de88a14ac98a49774b,Hataeda-hachimangū Shrine (Ōjiyama-hachimangū),35.0685409,135.7707756,4.8,9,"1118 Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ6emxqfanAWARrJvOflrOLFs,56d04e3f086f567750850ef4f00b11ef4b1a1902,Mizorogaike Jizo-do Temple,35.05872,135.766208,4,1,"46 Kamigamo Midoroikecho, Kita Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJwyBy__OnAWARBvahpOVArZw,c610585727c524db4f64541e7a23c83f6f6d5b2a,Dainichi-nyorai-dō Temple,35.059299,135.7664955,0,0,"16-17 Kamigamo Hazamacho, Kita Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJxQqG4_SnAWARe05W96_kYZI,ed3b92367c5e69ae54a3eb0baf59928d945e61c4,Mizoro-ike Kifune-jinja Shrine,35.0595631,135.7661731,3.5,6,"Kamigamo Midoroikecho, Kita Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJfSQgvPSnAWAR00bdwxDUels,4d3741d6c6538e37416c636eb2db0ac5ee439900,Mikagegata-dani-sha Shrine,35.0600652,135.7700914,0,0,"Kamigamokeshiyama, Kita Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJfYU_zOynAWARRjTqkAF1PFg,f16da0a70d2bcc2fc96159995105de0f011e9cc5,Hari-jinja Shrine,35.0686371,135.77088,3.4,5,"1118 Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJv6svPp-nAWAREIcva2_qn9Y,93ba92f713841adc3d645fae8760c7f78e74701b,Zeshin-ji Temple,35.080354,135.78646,3,1,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJG9q7r5-nAWARFRGGrp5jGGo,d85c9af24ee3ba8ff67f8907f7b308b7ac007228,Chōgen-ji Temple,35.080723,135.788149,5,2,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJZ1zZOJ-nAWARM7V2PoHe_QQ,ffd6f246bef28abdfebbe4fac80ee0dcea413bef,"Juo-do Hall, Zeshin-ji Temple",35.08032,135.7861162,0,0,"60 Iwakura Chuzaijicho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJv6A__YKnAWARRVjFbHnhekg,47d632f05906ac513b447f97c007555e480d75c6,Saifuku-ji Temple,35.071683,135.787732,0,0,"365 Iwakura Chuzaijicho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJBUe3an6nAWARrudFFCU5Nmk,78bc6602c8e22cd8dfb24b2523fb3c3230d243ee,Ume-no-miya-jinja Shrine,35.076662,135.788965,3,1,"Kyoto, Sakyo Ward, Iwakura Nakamachi, 52 梅ノ宮神社参集殿","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJgZzZDfanAWARQtJm6zV08tI,c60fa3ef5716b9b8b45278f0ba4416dbafd558a6,Yamazumi-jinja Shrine (Otabi-sho of Iwakura-jinja Shrine),35.0745779,135.7839361,4.7,3,"Iwakuranishi Kawaracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJm4iZvaKnAWARsx0steu6Wi4,b30578bc2fd0187ed5a1f9a14352c9ff3b26a619,Sarutahiko-jinja (Hukuzen-sha) Shrine,35.0802333,135.781703,0,0,"305 Iwakura Aguracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJa_xymKKnAWARs3ysQI2x3ww,2dcff2ca1c173e832f10e9f64b4e116ad506487d,Iwakura Shrine Kagura-den hall,35.0800369,135.7817784,3.7,12,"Kyoto, Sakyo Ward, Iwakura Aguracho, 302","['point_of_interest', 'establishment']"
ChIJVVVF9I2nAWARo6B-wtR9d-8,6e504287196886171c2ab8d14983b896b2fa40e9,Joju-in Temple,35.067315,135.7747965,4,2,"91 Iwakura Hataedacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
