place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJs4Cbj8oIAWARiBZl2-sBK6o,f84c947d19630bbc026a5f8b147286ddc855b6ef,Rengeoin Sanjusangendo,34.9878845,135.7717126,4.5,3424,"657 Sanjusangendomawari, Higashiyama Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJkWH_sqUIAWARWsn28jWc7y0,449cbed996faa7618fc48d85ddc81af8794420bd,Higashi-Honganji Temple,34.9909401,135.7595892,4.4,2762,"Kyoto, Shimogyo Ward, 烏丸通 七条上る常葉町７５４","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJNUggIcsIAWARyywyCIhTyX8,73ec24985133f1bbd2f442a5fc38f24b282727f2,Yogenin Temple,34.9878332,135.7736207,4.2,176,"656 Sanjusangendomawari, Higashiyama Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJiXmNDMoIAWARNUZyTY1OAH0,f55783f8b8d4c3aaf4282fa1f4acc814f3c9cc0e,Hōkōji Temple,34.9920613,135.7721221,4,142,"Kyoto, Higashiyama Ward, 正面通大和大路東入茶屋町527-2","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJbRKH0aQIAWARwaRrSV-JvAY,1917900f938e70e2b823fe689225fa3f93d98517,Shōgyōji Temple,34.9928631,135.7612746,0,0,"374 Tomitacho, Shimogyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJN9rFUrIIAWARWlFuKu_Xv58,bd18621c0bd79bde0bc723966aa1536b2ab8dddd,Saikoji Temple,34.985189,135.763888,2,2,"79 Nishinocho, Shimogyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJVYdtqLsIAWARLbfEU7e2Zg4,26b237f290212c0e5c419ac5f098c0df0918ba8a,Renkōji Temple,34.994205,135.76403,4.4,11,"Kyoto, Shimogyo Ward, 六条上ル本塩竈町５３４ 富小路通り","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ632R-rEIAWARSsxLTMUKoNk,e4066779ab534edcd5fccbb702af2f4346b3a0d7,Shōgyō-in Temple,34.9865998,135.7621134,4.1,12,"744 Higashishiokojicho, Shimogyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJJYJHwaQIAWARBkVyytPfgjs,a97bc859e80fb629e3b53c43eaa6e6d58b64cdbc,Tadasho Temple,34.993049,135.760641,0,0,"Kyoto, Shimogyo Ward, 不明門通花屋町下る高槻町353","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJA1PC5bIIAWARy8IA__O3H0Q,d222980c0f73b9fd1d237ddf3b2e21aaeba611c9,Jotokuji Temple,34.9885457,135.7644118,3.5,2,"27-1 Gonocho, Shimogyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJc_ku1boIAWAR9zjvqoM9VqM,cd874d37d898563869b49c5cd6ba3e33c5d03dd4,Kokyūji Temple,34.9924733,135.7617143,3,1,"Kyoto, Shimogyo Ward, 間之町通上珠数屋町上る天神町397","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJA1PC5bIIAWARmrrQmxp7B5s,d9ddaa75e185b78c97cb5e440bb46d763729b758,Jorakuji Temple,34.983769,135.763385,0,0,"24 Higashikujo Nishiiwamotocho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ460iALMIAWARqJLItJLoOys,053b3f34dfeb398241b8980250367f6ca0fa2b66,Shōkyūji Temple,34.984719,135.763977,0,0,"166 Nishinocho, Shimogyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJQY1PmLwIAWARBPJYZ8Qxyrw,fc516264b609c69069627af781ba0a8cc8ff96ca,Sainenji Temple,34.995838,135.762855,4,8,"Kyoto, Shimogyo Ward, 高倉通五条下る堺町35","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJEWUkTboIAWARZrMMK3_zuaE,b88f1f62934520e86b69affdf6ad4350a2fdf205,Ichihime-jinja Shrine,34.9939682,135.7647222,4,312,"Kyoto, Shimogyo Ward, 河原町五条 下ル一筋目西入ル","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ30M0kskIAWAR2YB3p_JWeB0,31231e0b2ac2a9c643bcba6afa34d369b9a6dc7c,Toyokuni-Jinja Shrine,34.9915599,135.7724954,4,615,"Kyoto, Higashiyama Ward, Chayacho, ５３０","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJE8HFUzQPAWARUuLLa6-AF14,4d034e596cfe1a4fe77bf022e283fa4d907735c8,Imakumano-Jinja Shrine,34.984625,135.773671,3.9,131,"42 Imakumano Naginomoricho, Higashiyama Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJGYzc1KQIAWARCdbz-ANPQxA,e595025b4659ac9cfbda690f93335085e6d86592,Ayako-Tenmagu Shrine,34.9927023,135.7616217,3.9,84,"Kyoto, Shimogyo Ward, 区間之 花屋町下る天神町400","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ__-2trYIAWARkr5eRxIjPEw,7055186377e43ee3313f8e23f01d2d8dd6487151,Taimatsuden-Inari-jinja Shrine,34.9890852,135.7666769,3.6,11,"452-1 Inaricho, Shimogyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ30M0kskIAWARuD4Eqy-f3og,2eef998201d11c5ad38576535e32171f7dfd8d78,Toyokuni Shrine,34.9912943,135.7717958,3.7,17,"530 Chayacho, Higashiyama Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJF0s_78kIAWARJ6YVDdUFNms,6aa440a79b0d058e4dd7ab1ba5e18dde9bd8a2c2,Sadateru Shrine,34.9913161,135.7717264,0,0,"530 Chayacho, Higashiyama Ward, 京都市東山区","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ6wpwrU4JAWARek4WqYy_hEc,0dd729bcdf3eaf1c7b8ba00810499411cc8ac05e,Makimotoinari Shrine,34.9917749,135.7721159,4,3,"530 Chayacho, Higashiyama Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJAQBQQzMPAWARykRznFzqg2Y,86a35e58ddfe1adab7556958df732bb7bb1ed3f0,Chishakuin Temple,34.988084,135.7763969,4.3,456,"京都市東山区Higashiyama Ward, 七条下る東瓦町964番地 東大路通り","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ7zIwYs4IAWARqDnWpPumOKE,c0da26513f872a8d9b5e5da61fe97292bb5ec493,Jippouji Temple,34.9943548,135.7783618,4.3,9,"Higashiyama Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJscKtFzQPAWAR1zo4P2awHmM,aef17fb35645a241573a86bcfac79b1f20743032,Mitsuse Temple,34.983795,135.774665,4,2,"7-1 Imakumano Naginomoricho, Higashiyama Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJNS167TEPAWAR35EcJEOGLZI,b400292ba7cfba775623eba8055762e945a8a1a5,Shohoji Temple,34.984647,135.779487,3.3,6,"145 Imakumano Minamihiyoshicho, Higashiyama Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJF7PKIDIPAWAREu4iy-2Btbk,7c86cc451f01b6ad64b1a38f2f41caf7a38cae98,Tokuzenji Temple,34.985095,135.779037,0,0,"79 Imakumano Minamihiyoshicho, Higashiyama Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
