ナンバリング,Places
350277,"阪急駅, 嵯峨野方面, 河原町・新京極方面, 京都駅周辺, ＪＲ京都駅（在来線）"
310710,"ＪＲ京都駅（在来線）, 不明"
310906,"不明, 京都駅周辺, 河原町・新京極方面, 祇園方面, 河原町・新京極方面, 京都駅周辺, 不明"
100173,"その他ＪＲ駅, 嵯峨野方面, その他ＪＲ駅"
190296,None
50093,None
150458,"名神京都南インター, 光悦寺周辺, 具体的な地名, 不明, 京福（叡電・嵐電）駅, 不明, 近鉄駅, 具体的な地名, 名神京都南インター"
300084,"ＪＲ京都駅（新幹線）, 嵐山方面, 嵯峨野方面, 京都駅周辺, 東寺周辺, ＪＲ京都駅（新幹線）"
310634,"ＪＲ京都駅（在来線）, 河原町・新京極方面, 三十三間堂周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
80439,"阪急駅, 嵐山方面, 哲学の道周辺, 河原町・新京極方面, 阪急駅"
100365,"阪急駅, 嵐山方面, 嵯峨野方面, 嵐山方面, 河原町・新京極方面, 阪急駅"
210105,"ＪＲ京都駅（在来線）, 下鴨神社周辺, 平安神宮周辺, ＪＲ京都駅（在来線）"
160168,"名神京都東インター, 嵐山方面, 京都駅周辺, 二条城周辺, 名神京都東インター"
230164,"名神京都南インター, 高雄方面, 京北方面"
210259,"ＪＲ京都駅（在来線）, 御所周辺, 下鴨神社周辺, 御所周辺, 京都駅周辺, 不明"
90360,"ＪＲ京都駅（新幹線）, 三十三間堂周辺, 三十三間堂周辺, 三十三間堂周辺, 祇園方面, ＪＲ京都駅（新幹線）"
40169,"近鉄駅, 金閣寺周辺, 大徳寺周辺, 祇園方面, 清水寺周辺, 京阪駅"
30144,"京都市内の宿泊施設, 河原町・新京極方面, 平安神宮周辺, 平安神宮周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
10301,"不明, 清水寺周辺, 祇園方面, その他ＪＲ駅"
70389,"京都市内の自宅・知人宅, 大原・八瀬方面, 北山通周辺, 御所周辺, 祇園方面, 河原町・新京極方面, 京都市内の自宅・知人宅"
350510,"阪急駅, 不明, 不明, 不明, 太秦方面, 阪急駅"
260355,"ＪＲ京都駅（在来線）, 伏見稲荷大社周辺, 具体的な地名, ＪＲ京都駅（在来線）"
320045,"その他ＪＲ駅, 二条城周辺, 具体的な地名, 具体的な地名"
310338,"ＪＲ京都駅（在来線）, 京都駅周辺, 京都駅周辺, 河原町・新京極方面, 河原町・新京極方面, 河原町・新京極方面, ＪＲ京都駅（在来線）"
310433,"京阪駅, 御所周辺, 具体的な地名, 鞍馬方面, 具体的な地名, 具体的な地名, 具体的な地名, ＪＲ京都駅（在来線）"
180085,"京都市内の宿泊施設, 醍醐寺周辺, 京都市内の宿泊施設"
310703,"ＪＲ京都駅（新幹線）, 京都駅周辺, 京都駅周辺, ＪＲ京都駅（在来線）"
60089,"阪急駅, 不明"
310479,"ＪＲ京都駅（在来線）, 具体的な地名, 具体的な地名, ＪＲ京都駅（在来線）"
311427,"その他ＪＲ駅, 具体的な地名, 近鉄駅"
30445,"名神京都東インター, 平安神宮周辺, 平安神宮周辺, 名神京都東インター"
80302,"ＪＲ京都駅（新幹線）, 三十三間堂周辺, 哲学の道周辺, 大原・八瀬方面, 国道１号大津方面"
230301,"京阪駅, 具体的な地名, 具体的な地名, 京阪駅"
30074,"京都市内の宿泊施設, 平安神宮周辺, 哲学の道周辺, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
300750,"その他ＪＲ駅, 清水寺周辺, 銀閣寺周辺, 京都駅周辺, 不明"
240374,"京都市内の自宅・知人宅, 京都駅周辺, 祇園方面, ＪＲ京都駅（新幹線）"
240344,"京都市内の自宅・知人宅, 京都駅周辺, 祇園方面, ＪＲ京都駅（新幹線）"
190031,"京都市内の宿泊施設, 東寺周辺, 三十三間堂周辺, 嵐山方面, 名神京都南インター"
311014,"京都市内の宿泊施設, 京都駅周辺, 哲学の道周辺, 京都駅周辺, 不明"
340039,"阪急駅, 京都市営地下鉄の駅, 京都市営地下鉄の駅, 不明"
240125,"祇園方面, 清水寺周辺, 河原町・新京極方面, 不明"
20464,"ＪＲ京都駅（在来線）, 嵐山方面, ＪＲ京都駅（在来線）"
310186,"ＪＲ京都駅（在来線）, 大原・八瀬方面, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
290231,"その他ＪＲ駅, 京都駅周辺, 河原町・新京極方面, 河原町・新京極方面, その他ＪＲ駅"
311461,None
80428,"不明, 具体的な地名, 具体的な地名, 不明"
10044,"京都市内の宿泊施設, 清水寺周辺, 京都駅周辺, 不明"
160225,"京都市内の宿泊施設, 具体的な地名, 金閣寺周辺, 北野天満宮周辺, 哲学の道周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
40185,"ＪＲ京都駅（新幹線）, 金閣寺周辺, 衣笠・御室方面, 嵐山方面, ＪＲ京都駅（新幹線）"
300301,"京都駅周辺, 上賀茂神社周辺, 具体的な地名, 不明"
350130,"ＪＲ京都駅（新幹線）, 大徳寺周辺, 阪急駅"
160078,"京都市内の宿泊施設, 京都駅周辺, 不明"
90081,"京阪駅, 三十三間堂周辺, 京阪駅"
120072,"京都市内の宿泊施設, 金閣寺周辺, 衣笠・御室方面, ＪＲ京都駅（在来線）"
190460,"ＪＲ京都駅（在来線）, 京都駅周辺, 東寺周辺, 京都駅周辺, ＪＲ京都駅（在来線）"
90047,None
250484,"阪急駅, 祇園方面, 不明"
190001,"ＪＲ京都駅（在来線）, 東寺周辺, 平安神宮周辺, 三十三間堂周辺, ＪＲ京都駅（新幹線）"
10800,"ＪＲ京都駅（新幹線）, 大原・八瀬方面, 清水寺周辺, 祇園方面, 宝ヶ池方面, 不明"
311511,"ＪＲ京都駅（在来線）, 河原町・新京極方面, 不明"
290365,"京都市内の宿泊施設, 嵐山方面, 具体的な地名, 具体的な地名, 京都駅周辺, 京都市内の宿泊施設"
240103,"京都市内の自宅・知人宅, 清水寺周辺, 祇園方面, 京都市内の自宅・知人宅"
310345,"ＪＲ京都駅（在来線）, 京都駅周辺, 宝ヶ池方面, 河原町・新京極方面, 河原町・新京極方面, ＪＲ京都駅（在来線）"
160143,"ＪＲ京都駅（新幹線）, 清水寺周辺, 河原町・新京極方面, 不明"
30302,None
220189,"ＪＲ京都駅（新幹線）, 松尾大社周辺, 北野天満宮周辺, 嵐山方面, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
250004,"京都市内の自宅・知人宅, 祇園方面, 清水寺周辺, 祇園方面, ＪＲ京都駅（在来線）"
100075,"近鉄駅, 嵯峨野方面, 嵐山方面, 近鉄駅"
200195,"不明, 嵐山方面, 光悦寺周辺, 大徳寺周辺, 上賀茂神社周辺, 具体的な地名, 具体的な地名, 御所周辺, ＪＲ京都駅（新幹線）"
20463,"ＪＲ京都駅（在来線）, 嵐山方面, ＪＲ京都駅（在来線）"
310982,"ＪＲ京都駅（新幹線）, 清水寺周辺, 祇園方面, 平安神宮周辺, 銀閣寺周辺, ＪＲ京都駅（在来線）"
90271,"ＪＲ京都駅（在来線）, 三十三間堂周辺, 平安神宮周辺, ＪＲ京都駅（在来線）"
210092,"ＪＲ京都駅（在来線）, 御所周辺, 下鴨神社周辺, 平安神宮周辺, ＪＲ京都駅（在来線）"
10791,"ＪＲ京都駅（在来線）, 清水寺周辺, 祇園方面, 不明"
310598,None
20035,"名神京都南インター, 哲学の道周辺, 清水寺周辺, 名神京都南インター"
250468,"国道１号大津方面, 祇園方面, 清水寺周辺, 平安神宮周辺, 河原町・新京極方面, 京都市内の宿泊施設"
230171,"京都市内の自宅・知人宅, 高雄方面, 不明"
290154,"京都市内の自宅・知人宅, 京都駅周辺, 祇園方面, 京都市内の自宅・知人宅"
10380,"不明, 清水寺周辺, 祇園方面, 祇園方面, 哲学の道周辺, 哲学の道周辺, 京都市内の宿泊施設"
180163,None
290047,"京都市内の自宅・知人宅, 銀閣寺周辺, 哲学の道周辺, 京都市内の自宅・知人宅"
350405,"京都市内の宿泊施設, 嵐山方面, 祇園方面, 京都市内の宿泊施設"
100067,"京都市内の宿泊施設, 嵐山方面, 嵯峨野方面, 衣笠・御室方面, 二条城周辺, 河原町・新京極方面, 祇園方面, 京都市内の宿泊施設"
20576,"ＪＲ京都駅（新幹線）, 二条駅周辺, 不明"
20561,"ＪＲ京都駅（新幹線）, 二条駅周辺, 不明"
330318,None
250482,"京都市内の自宅・知人宅, 清水寺周辺, 祇園方面, 平安神宮周辺, 祇園方面, 京都市内の自宅・知人宅"
340335,None
260351,"ＪＲ京都駅（在来線）, 京都駅周辺, 京都駅周辺, 東福寺周辺, 伏見稲荷大社周辺, 京都駅周辺, ＪＲ京都駅（在来線）"
160268,"京都市内の自宅・知人宅, 具体的な地名, 具体的な地名, 具体的な地名, 京都駅周辺, 具体的な地名, 具体的な地名, 不明"
310306,"京都市内の自宅・知人宅, 三十三間堂周辺, 京都駅周辺, 不明"
80472,"阪急駅, 平安神宮周辺, 哲学の道周辺, 河原町・新京極方面, 不明"
260358,None
310230,"ＪＲ京都駅（在来線）, 御所周辺, 不明, 河原町・新京極方面, ＪＲ京都駅（在来線）"
210277,"京都市内の自宅・知人宅, 河原町・新京極方面, 河原町・新京極方面, 下鴨神社周辺, 京都駅周辺, 醍醐寺周辺, 醍醐寺周辺"
100058,"京都市内の自宅・知人宅, 嵯峨野方面, 嵯峨野方面, 嵯峨野方面, 京都市内の自宅・知人宅"
40351,"ＪＲ京都駅（新幹線）, 祇園方面, 祇園方面, 祇園方面, 金閣寺周辺, 北野天満宮周辺, 京都市内の宿泊施設"
300414,"ＪＲ京都駅（新幹線）, 嵐山方面, 哲学の道周辺, 光悦寺周辺"
230040,"国道１号大津方面, 高雄方面, 嵐山方面, 祇園方面, 宝ヶ池方面, 不明"
180187,"ＪＲ京都駅（新幹線）, 東福寺周辺, 具体的な地名, 醍醐寺周辺, 具体的な地名"
240296,"京都駅周辺, 祇園方面, 不明"
200063,"京阪駅, 上賀茂神社周辺, 下鴨神社周辺, 平安神宮周辺, 東福寺周辺, 二条駅周辺, 清水寺周辺, 京阪駅"
80185,"ＪＲ京都駅（新幹線）, 東福寺周辺, 哲学の道周辺, 銀閣寺周辺, 祇園方面, 清水寺周辺, 不明"
280573,"京都市内の宿泊施設, 不明"
50088,"京都市内の自宅・知人宅, 哲学の道周辺, 哲学の道周辺, 銀閣寺周辺, 河原町・新京極方面, 京都市内の自宅・知人宅"
70369,"京都市内の宿泊施設, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 京都市内の自宅・知人宅"
190003,"ＪＲ京都駅（在来線）, 東寺周辺, 銀閣寺周辺, 祇園方面, ＪＲ京都駅（在来線）"
130353,"京都市内の宿泊施設, 大徳寺周辺, 金閣寺周辺, 衣笠・御室方面, 衣笠・御室方面, 京都市内の宿泊施設"
300434,"ＪＲ京都駅（新幹線）, 東福寺周辺, 京都駅周辺, 嵯峨野方面"
310609,"ＪＲ京都駅（在来線）, 大徳寺周辺, 具体的な地名, 具体的な地名, 具体的な地名, 京都駅周辺, ＪＲ京都駅（在来線）"
30221,None
311484,"京都市内の自宅・知人宅, 京都駅周辺, 不明"
230192,"ＪＲ京都駅（新幹線）, 高雄方面, 不明"
200012,"ＪＲ京都駅（新幹線）, 上賀茂神社周辺, 大徳寺周辺, 河原町・新京極方面, 祇園方面, 不明"
160294,None
90277,"京都市内の自宅・知人宅, 平安神宮周辺, 三十三間堂周辺, 京都駅周辺, 京都市内の自宅・知人宅"
290042,"京都市内の自宅・知人宅, 具体的な地名, 具体的な地名, 具体的な地名, 平安神宮周辺, 平安神宮周辺, 平安神宮周辺, 京都市内の自宅・知人宅"
340292,None
240314,"ＪＲ京都駅（新幹線）, 祇園方面, 河原町・新京極方面, 河原町・新京極方面, ＪＲ京都駅（在来線）"
310444,"ＪＲ京都駅（新幹線）, 祇園方面, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
230285,"ＪＲ京都駅（新幹線）, 高雄方面, 京都市内の宿泊施設"
200109,None
20119,"国道９号亀岡方面, 嵐山方面, 清水寺周辺, 国道１号大阪方面"
160297,None
90453,"京都市内の自宅・知人宅, 具体的な地名, 京都市内の自宅・知人宅"
330013,"京阪駅, 鞍馬方面, 具体的な地名"
280341,"名神京都東インター, 上賀茂神社周辺, 下鴨神社周辺, 宝ヶ池方面, 具体的な地名, 具体的な地名, 東福寺周辺, 祇園方面, 名神京都東インター"
250435,"名神京都南インター, 光悦寺周辺, 祇園方面, 名神京都南インター"
230140,"具体的な地名, 高雄方面, 具体的な地名, 不明"
330112,None
160140,"ＪＲ京都駅（新幹線）, 京都駅周辺, 河原町・新京極方面, 具体的な地名, 河原町・新京極方面, 阪急駅"
190493,"阪急駅, 河原町・新京極方面, 東寺周辺, 河原町・新京極方面, 阪急駅"
320169,None
160247,"祇園方面, 二条城周辺, 河原町・新京極方面, 京都駅周辺, 京都駅周辺, ＪＲ京都駅（在来線）"
340217,"京都市内の宿泊施設, 河原町・新京極方面, 祇園方面, 不明"
10022,"京都市内の自宅・知人宅, 平安神宮周辺, 平安神宮周辺, 平安神宮周辺, 哲学の道周辺, 哲学の道周辺, 京都市内の自宅・知人宅"
10132,"京都市内の宿泊施設, 祇園方面, 清水寺周辺, 京都市内の宿泊施設"
30254,"ＪＲ京都駅（在来線）, 銀閣寺周辺, 平安神宮周辺, ＪＲ京都駅（在来線）"
180155,"京阪駅, 醍醐寺周辺, 河原町・新京極方面, 河原町・新京極方面"
180184,"京阪駅, 京阪駅, その他ＪＲ駅, ＪＲ京都駅（新幹線）"
250092,"京都市内の宿泊施設, 祇園方面, 祇園方面, 清水寺周辺, ＪＲ京都駅（新幹線）"
20158,None
270458,"ＪＲ京都駅（新幹線）, 嵐山方面, 河原町・新京極方面, 東福寺周辺, 河原町・新京極方面"
90109,"花園方面, 三十三間堂周辺, 三十三間堂周辺, 阪急駅"
340189,"阪急駅, 具体的な地名, 阪急駅"
