ナンバリング,Places
350293,"ＪＲ京都駅（新幹線）, 嵐山方面, 三十三間堂周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
170130,"京都市内の宿泊施設, 京都駅周辺, 三十三間堂周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
80079,"名神京都東インター, 哲学の道周辺, 太秦方面, 太秦方面, 三十三間堂周辺, 名神京都東インター"
330156,"京都市内の宿泊施設, 修学院・詩仙堂周辺, 下鴨神社周辺, ＪＲ京都駅（新幹線）"
50592,"国道１号大津方面, 銀閣寺周辺, 名神京都南インター"
150166,"京都市内の宿泊施設, 鞍馬方面, 名神京都東インター"
311566,"京都市内の宿泊施設, 具体的な地名, 光悦寺周辺, 平安神宮周辺, ＪＲ京都駅（新幹線）"
110421,"名神京都南インター, 具体的な地名, 大原・八瀬方面, 国道１号大津方面"
280343,"名神京都東インター, 太秦方面, 河原町・新京極方面, 名神京都東インター"
160009,"京阪駅, 清水寺周辺, ＪＲ京都駅（在来線）"
220267,"ＪＲ京都駅（在来線）, 松尾大社周辺, 嵐山方面, 北野天満宮周辺, 近鉄駅"
330081,"京阪駅, 鞍馬方面, 下鴨神社周辺, 京阪駅"
330366,"京阪駅, 鞍馬方面, 不明"
10591,"ＪＲ京都駅（在来線）, 修学院・詩仙堂周辺, 清水寺周辺, 京都駅周辺, 京都市営地下鉄の駅"
90245,"名神京都東インター, 東福寺周辺, 三十三間堂周辺, 祇園方面, 清水寺周辺, 不明"
190141,"京都市内の自宅・知人宅, 東寺周辺, 東福寺周辺, 京都駅周辺, 京都市内の自宅・知人宅"
250433,"京都市内の宿泊施設, 平安神宮周辺, 哲学の道周辺, 祇園方面, ＪＲ京都駅（新幹線）"
190246,"京都市内の宿泊施設, 二条城周辺, 京都駅周辺, 東寺周辺, 京都駅周辺, ＪＲ京都駅（在来線）"
300246,"京都市内の宿泊施設, 具体的な地名, 二条城周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
200159,"ＪＲ京都駅（新幹線）, 衣笠・御室方面, 上賀茂神社周辺, 宝ヶ池方面, 京都市内の宿泊施設"
240355,"ＪＲ京都駅（新幹線）, 東福寺周辺, 祇園方面, 御所周辺, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
30435,"その他ＪＲ駅, 具体的な地名, 平安神宮周辺, 三十三間堂周辺, 京阪駅"
80433,"ＪＲ京都駅（新幹線）, 哲学の道周辺, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
340269,"阪急駅, 御所周辺, 河原町・新京極方面, 阪急駅"
290221,"阪急駅, 平安神宮周辺, 哲学の道周辺, 河原町・新京極方面, 阪急駅"
250285,"京都市内の自宅・知人宅, 清水寺周辺, 祇園方面, 京都市内の自宅・知人宅"
10378,"名神京都東インター, 清水寺周辺, 祇園方面, 清水寺周辺, 名神京都東インター"
200019,"京都市内の宿泊施設, 上賀茂神社周辺, 具体的な地名, 修学院・詩仙堂周辺, 不明"
130306,"ＪＲ京都駅（新幹線）, 嵐山方面, 嵯峨野方面, 衣笠・御室方面, 衣笠・御室方面, 不明, 不明, 京都駅周辺, 京都市内の宿泊施設"
260342,"不明, 伏見稲荷大社周辺, 不明"
310981,"ＪＲ京都駅（在来線）, 具体的な地名, 大徳寺周辺, 下鴨神社周辺, 河原町・新京極方面, ＪＲ京都駅（在来線）"
300525,"その他京都市境の道路, 京都駅周辺, 京都駅周辺, その他京都市境の道路"
100225,"京都市内の宿泊施設, 京都駅周辺, 嵯峨野方面, 嵐山方面, 嵐山方面, 京都駅周辺, ＪＲ京都駅（新幹線）"
170073,"ＪＲ京都駅（新幹線）, 不明"
310094,"不明, 二条城周辺, 不明"
160035,"ＪＲ京都駅（新幹線）, 京都駅周辺, ＪＲ京都駅（新幹線）"
260040,None
250061,"京都市内の宿泊施設, 清水寺周辺, 祇園方面, 哲学の道周辺, ＪＲ京都駅（新幹線）"
260196,"ＪＲ京都駅（新幹線）, 東福寺周辺, 清水寺周辺, 不明"
110206,"名神京都東インター, 平安神宮周辺, 大原・八瀬方面, 名神京都東インター"
270093,None
100485,"京都市内の宿泊施設, 嵐山方面, 嵯峨野方面, 京都駅周辺, ＪＲ京都駅（新幹線）"
350065,"京都市内の宿泊施設, 東寺周辺, 衣笠・御室方面, ＪＲ京都駅（新幹線）"
300408,"京都市内の宿泊施設, 伏見稲荷大社周辺, 東福寺周辺, ＪＲ京都駅（新幹線）"
350519,"その他ＪＲ駅, 花園方面, 衣笠・御室方面, 嵯峨野方面, 阪急駅"
311016,None
160123,"ＪＲ京都駅（在来線）, 京都駅周辺, 祇園方面, 河原町・新京極方面, 河原町・新京極方面, 阪急駅"
70265,"京都市内の自宅・知人宅, 大徳寺周辺, 京都市内の自宅・知人宅"
340346,"阪急駅, 河原町・新京極方面, 祇園方面, 阪急駅"
310790,"ＪＲ京都駅（在来線）, 上賀茂神社周辺, 上賀茂神社周辺, 二条城周辺, ＪＲ京都駅（在来線）"
190037,"ＪＲ京都駅（新幹線）, 東寺周辺, 東福寺周辺, 清水寺周辺, ＪＲ京都駅（新幹線）"
310490,None
280400,"阪急駅, 祇園方面, 具体的な地名, 清水寺周辺, 祇園方面, 阪急駅"
310764,"ＪＲ京都駅（在来線）, 三十三間堂周辺, 清水寺周辺, 祇園方面, 河原町・新京極方面, 京都駅周辺, ＪＲ京都駅（在来線）"
300546,"京都市内の宿泊施設, 具体的な地名, 東福寺周辺, ＪＲ京都駅（新幹線）"
150302,"国道９号亀岡方面, 鞍馬方面, 二条城周辺, 具体的な地名, 国道９号亀岡方面"
330227,"京都市内の自宅・知人宅, 東福寺周辺, 清水寺周辺, 祇園方面, 京都市内の自宅・知人宅"
70057,"京都市内の宿泊施設, 二条城周辺, 御所周辺, 二条城周辺, ＪＲ京都駅（新幹線）"
300346,"ＪＲ京都駅（新幹線）, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
230143,"名神京都南インター, 高雄方面, 国道９号亀岡方面"
310198,"不明, 嵐山方面, 不明"
220444,"ＪＲ京都駅（在来線）, 松尾大社周辺, 河原町・新京極方面, ＪＲ京都駅（在来線）"
50038,"京都市内の宿泊施設, 銀閣寺周辺, 嵐山方面, 嵐山方面, 具体的な地名, 具体的な地名, 名神京都東インター"
100477,"ＪＲ京都駅（新幹線）, 嵯峨野方面, ＪＲ京都駅（新幹線）"
340334,"ＪＲ京都駅（在来線）, 御所周辺, 具体的な地名"
170018,"ＪＲ京都駅（新幹線）, 京都駅周辺, 具体的な地名, 嵐山方面, 嵯峨野方面, 具体的な地名, 京都市内の宿泊施設"
10466,"ＪＲ京都駅（新幹線）, 清水寺周辺, 祇園方面, 嵐山方面, 不明"
350253,"京都市内の自宅・知人宅, 京都駅周辺, 京都駅周辺, ＪＲ京都駅（在来線）"
220410,"京都市内の宿泊施設, 銀閣寺周辺, 哲学の道周辺, 河原町・新京極方面, 松尾大社周辺, 京都駅周辺, 京都駅周辺"
200038,"京都市内の宿泊施設, 上賀茂神社周辺, 具体的な地名, 大徳寺周辺, ＪＲ京都駅（新幹線）"
270476,"名神京都南インター, 嵐山方面, 清水寺周辺, 東福寺周辺, 京都駅周辺, 京都駅周辺"
90002,"京都市内の自宅・知人宅, 三十三間堂周辺, 清水寺周辺, 三十三間堂周辺, ＪＲ京都駅（新幹線）"
210103,"具体的な地名, 下鴨神社周辺, 宝ヶ池方面, 二条城周辺, 不明"
10211,"ＪＲ京都駅（新幹線）, 嵐山方面, 京都市営地下鉄の駅"
230227,"具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 不明"
230091,"ＪＲ京都駅（新幹線）, 高雄方面, 嵯峨野方面, ＪＲ京都駅（新幹線）"
200185,"ＪＲ京都駅（新幹線）, 高雄方面, 上賀茂神社周辺, 鞍馬方面, ＪＲ京都駅（新幹線）"
340012,"阪急駅, 平安神宮周辺, 阪急駅"
160214,"京都市営地下鉄の駅, 具体的な地名, 京都駅周辺, 清水寺周辺, 具体的な地名, 具体的な地名, 具体的な地名, 不明"
60072,"京都市内の宿泊施設, 二条城周辺, 清水寺周辺, 祇園方面, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
110146,"名神京都東インター, 大原・八瀬方面, 鞍馬方面, 名神京都南インター"
220106,"国道９号亀岡方面, 松尾大社周辺, 国道９号亀岡方面"
100352,"阪急駅, 嵐山方面, 嵯峨野方面, 嵐山方面, 嵐山方面"
260431,"ＪＲ京都駅（新幹線）, 哲学の道周辺, 京都駅周辺, 伏見稲荷大社周辺, 近鉄駅"
310048,None
110324,"国道367号途中方面, 大原・八瀬方面, 修学院・詩仙堂周辺, 具体的な地名, 具体的な地名, 名神京都東インター"
40224,"ＪＲ京都駅（在来線）, 東福寺周辺, 光悦寺周辺, 金閣寺周辺, ＪＲ京都駅（新幹線）"
40004,"祇園方面, 金閣寺周辺, 衣笠・御室方面, 阪急駅"
20367,"阪急駅, 嵐山方面, 具体的な地名, 具体的な地名, 嵐山方面, 阪急駅"
330400,"京阪駅, 具体的な地名, 京阪駅"
350006,"阪急駅, 太秦方面, ＪＲ京都駅（在来線）"
270068,None
311017,"ＪＲ京都駅（在来線）, 河原町・新京極方面, 不明"
130189,"阪急駅, 高雄方面, 衣笠・御室方面, 太秦方面, 河原町・新京極方面, 阪急駅"
20509,"阪急駅, 嵐山方面, 阪急駅"
210044,"その他ＪＲ駅, 下鴨神社周辺, 祇園方面, 河原町・新京極方面, 京都駅周辺, 不明"
310834,"ＪＲ京都駅（新幹線）, 河原町・新京極方面, 祇園方面, ＪＲ京都駅（新幹線）"
300052,"ＪＲ京都駅（新幹線）, 祇園方面, 祇園方面, 京都駅周辺, ＪＲ京都駅（新幹線）"
310059,"京都市内の宿泊施設, 御所周辺, 鞍馬方面, 修学院・詩仙堂周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
80015,"京都市内の宿泊施設, 哲学の道周辺, ＪＲ京都駅（新幹線）"
80031,"京都市内の宿泊施設, 哲学の道周辺, ＪＲ京都駅（新幹線）"
310186,"ＪＲ京都駅（在来線）, 大原・八瀬方面, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
350431,"京都市内の自宅・知人宅, 光悦寺周辺, 金閣寺周辺, 京都市内の自宅・知人宅"
300600,"近鉄駅, 京都駅周辺, ＪＲ京都駅（新幹線）"
300601,"近鉄駅, ＪＲ京都駅（新幹線）"
190396,"京都市内の宿泊施設, 二条城周辺, 北山通周辺, 祇園方面, 東寺周辺, 河原町・新京極方面, 京都駅周辺, 桂離宮周辺"
270353,"京阪駅, 東福寺周辺, 京阪駅"
210291,"京阪駅, 下鴨神社周辺, 京阪駅"
210310,"京阪駅, 下鴨神社周辺, 祇園方面, 祇園方面, 具体的な地名"
270167,"ＪＲ京都駅（新幹線）, 東寺周辺, 京都駅周辺, 河原町・新京極方面, ＪＲ京都駅（新幹線）, ＪＲ京都駅（新幹線）"
70163,"京都市内の自宅・知人宅, 河原町・新京極方面, 御所周辺, 京都駅周辺"
270382,"その他ＪＲ駅, 東福寺周辺, 京都駅周辺, 河原町・新京極方面, 阪急駅"
280186,"阪急駅, 嵐山方面, 嵯峨野方面, 河原町・新京極方面, 阪急駅"
290415,"京都市内の自宅・知人宅, 哲学の道周辺, 銀閣寺周辺, 祇園方面, 京都駅周辺, 京都市内の自宅・知人宅"
210284,None
100382,"ＪＲ京都駅（在来線）, 嵯峨野方面, 嵯峨野方面, 嵯峨野方面, 嵯峨野方面, 嵯峨野方面, ＪＲ京都駅（在来線）"
110404,"京都市内の宿泊施設, 大原・八瀬方面, 御所周辺, 阪急駅"
311497,"京都市内の自宅・知人宅, 哲学の道周辺, 哲学の道周辺, 御所周辺, 京都駅周辺, 東福寺周辺, 京都市内の自宅・知人宅"
60147,"京都市内の宿泊施設, 二条駅周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
160279,"ＪＲ京都駅（新幹線）, 修学院・詩仙堂周辺, 京都駅周辺, 不明"
210407,"名神京都東インター, 祇園方面, 大徳寺周辺, 御所周辺, 下鴨神社周辺, 大徳寺周辺, 衣笠・御室方面, 名神京都東インター"
270152,None
190223,"名神京都東インター, 嵐山方面, 二条城周辺, 東寺周辺, 京都駅周辺, 名神京都東インター"
60434,"具体的な地名, 嵐山方面, 二条城周辺, 河原町・新京極方面, 不明"
320069,"京都市内の宿泊施設, 祇園方面, 具体的な地名, 嵐山方面, 河原町・新京極方面, 不明"
130087,"ＪＲ京都駅（新幹線）, 京都駅周辺, 祇園方面, 銀閣寺周辺, 哲学の道周辺, 河原町・新京極方面, 祇園方面, 祇園方面, 祇園方面"
290123,"不明, 御所周辺, 河原町・新京極方面, 京都駅周辺, 不明"
311573,"ＪＲ京都駅（在来線）, 嵐山方面, 二条城周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
260059,"京都市内の宿泊施設, 伏見稲荷大社周辺, 東福寺周辺, ＪＲ京都駅（新幹線）"
120124,"京都市内の宿泊施設, 二条駅周辺, 嵐山方面, 嵯峨野方面, 衣笠・御室方面, 京都駅周辺"
30088,"京都駅周辺, 東福寺周辺, 京都駅周辺, 不明"
330293,"京阪駅, 鞍馬方面, 清水寺周辺, 祇園方面"
240090,"京都市内の宿泊施設, 大原・八瀬方面, 銀閣寺周辺, 哲学の道周辺, 平安神宮周辺, 京都市内の宿泊施設"
310616,"不明, 具体的な地名, 具体的な地名, 不明"
220243,"京都市内の宿泊施設, 松尾大社周辺, 二条城周辺, 清水寺周辺, ＪＲ京都駅（新幹線）"
260440,"国道１号大阪方面, 東福寺周辺, 具体的な地名, 河原町・新京極方面, 伏見稲荷大社周辺, 国道１号大阪方面"
210309,"不明, 下鴨神社周辺, 不明"
70214,"京阪駅, 清水寺周辺, 御所周辺, 京阪駅"
230314,"ＪＲ京都駅（新幹線）, 嵐山方面, 高雄方面, 京都市内の宿泊施設"
80100,"その他ＪＲ駅, 哲学の道周辺, 哲学の道周辺, 東福寺周辺, 京都駅周辺, 京都駅周辺, 京都駅周辺, 具体的な地名"
160174,None
240427,None
190417,"ＪＲ京都駅（在来線）, ＪＲ京都駅（在来線）"
311135,"太秦方面, 具体的な地名, 銀閣寺周辺, 哲学の道周辺, 哲学の道周辺, 哲学の道周辺, 哲学の道周辺, 桂離宮周辺, 不明"
110336,"ＪＲ京都駅（在来線）, 大原・八瀬方面, ＪＲ京都駅（在来線）"
250366,"ＪＲ京都駅（新幹線）, 清水寺周辺, ＪＲ京都駅（新幹線）"
350071,"京都市内の宿泊施設, 嵐山方面, 衣笠・御室方面, 京都駅周辺, ＪＲ京都駅（在来線）"
130250,"京都市内の宿泊施設, 嵐山方面, 衣笠・御室方面, 金閣寺周辺, 京都駅周辺, 名神京都東インター"
310222,None
10474,"河原町・新京極方面, 祇園方面, 清水寺周辺, 祇園方面"
100088,"京都市内の宿泊施設, 嵯峨野方面, 嵐山方面, 近鉄駅"
20217,"ＪＲ京都駅（在来線）, 嵐山方面, 二条城周辺, 近鉄駅"
290020,"近鉄駅, 具体的な地名, 河原町・新京極方面, 具体的な地名, 具体的な地名, 京都駅周辺, 近鉄駅"
280078,"不明, 清水寺周辺, 祇園方面, 松尾大社周辺, 不明"
220137,"阪急駅, 松尾大社周辺, 嵐山方面, 嵯峨野方面, 嵐山方面, 阪急駅"
110190,"名神京都南インター, 大原・八瀬方面, 国道１号大津方面"
50283,"名神京都南インター, 金閣寺周辺, 銀閣寺周辺, 哲学の道周辺, 不明"
10213,"ＪＲ京都駅（在来線）, 清水寺周辺, 祇園方面, 銀閣寺周辺, ＪＲ京都駅（在来線）"
10206,"具体的な地名, 具体的な地名"
340348,"ＪＲ京都駅（新幹線）, 哲学の道周辺, 二条城周辺, 祇園方面, 京都駅周辺"
240239,"京阪駅, 清水寺周辺, 祇園方面, 河原町・新京極方面, 不明"
180087,"京阪駅, 醍醐寺周辺, ＪＲ京都駅（新幹線）"
210203,"阪急駅, 上賀茂神社周辺, 北山通周辺, 下鴨神社周辺, 河原町・新京極方面, 阪急駅"
330300,"京都市内の宿泊施設, 大原・八瀬方面, 河原町・新京極方面, 阪急駅"
270429,"阪急駅, 哲学の道周辺, 東福寺周辺, 河原町・新京極方面, 阪急駅"
90056,"名神京都東インター, 三十三間堂周辺, 嵐山方面, 名神京都東インター"
10031,"ＪＲ京都駅（在来線）, 清水寺周辺, 祇園方面, ＪＲ京都駅（在来線）"
220399,"国道367号途中方面, 松尾大社周辺, 河原町・新京極方面, 国道367号途中方面"
160100,"名神京都東インター, 清水寺周辺, 京都駅周辺, 名神京都東インター"
260058,"京都市内の宿泊施設, 京都駅周辺, 伏見稲荷大社周辺, 東福寺周辺, 三十三間堂周辺, ＪＲ京都駅（新幹線）"
300763,"京都市営地下鉄の駅, 御所周辺, 大原・八瀬方面, 京都駅周辺, ＪＲ京都駅（新幹線）"
30112,"京都市内の宿泊施設, 京都駅周辺, 祇園方面, 御所周辺, 河原町・新京極方面, 京都駅周辺, ＪＲ京都駅（新幹線）"
190343,"ＪＲ京都駅（新幹線）, 東寺周辺, ＪＲ京都駅（新幹線）"
160072,"ＪＲ京都駅（在来線）, 修学院・詩仙堂周辺, 京都駅周辺, 京都市内の宿泊施設"
230127,"ＪＲ京都駅（在来線）, 高雄方面, 京都駅周辺, ＪＲ京都駅（在来線）"
10626,"ＪＲ京都駅（在来線）, 清水寺周辺, 三十三間堂周辺, ＪＲ京都駅（新幹線）"
240349,"京都市内の自宅・知人宅, 祇園方面, 下鴨神社周辺, 京都市内の自宅・知人宅"
30092,"名神京都東インター, 哲学の道周辺, 哲学の道周辺, 哲学の道周辺, 哲学の道周辺, 平安神宮周辺, 平安神宮周辺, 名神京都南インター"
300142,"ＪＲ京都駅（在来線）, 平安神宮周辺, ＪＲ京都駅（新幹線）"
110192,"名神京都南インター, 大原・八瀬方面, 国道367号途中方面"
150345,"名神京都東インター, 鞍馬方面, 名神京都南インター"
110022,"名神京都南インター, 大原・八瀬方面, 大原・八瀬方面, 大原・八瀬方面, 具体的な地名, 祇園方面, 東寺周辺, 東寺周辺, 名神京都南インター"
10583,"その他ＪＲ駅, 祇園方面, 京都市営地下鉄の駅"
60404,"国道24号宇治奈良方面, 鞍馬方面, 二条城周辺, 国道１号大阪方面"
340379,"京都市内の自宅・知人宅, 祇園方面, 清水寺周辺, 東福寺周辺, 河原町・新京極方面, 京都市内の自宅・知人宅"
240285,"名神京都南インター, 清水寺周辺, 祇園方面, 名神京都南インター"
190009,"京都市内の自宅・知人宅, 下鴨神社周辺, 銀閣寺周辺, 哲学の道周辺, 不明"
20199,None
210261,"近鉄駅, 京都駅周辺, 大徳寺周辺, 下鴨神社周辺, 祇園方面, 清水寺周辺, 祇園方面, 近鉄駅"
50282,"京都市内の宿泊施設, 銀閣寺周辺, 哲学の道周辺, 祇園方面, 京都駅周辺, 京都市内の宿泊施設"
10777,"名神京都東インター, 東福寺周辺, 三十三間堂周辺, 清水寺周辺, 祇園方面, 名神京都東インター"
180167,"京阪駅, 醍醐寺周辺, 具体的な地名, 京都市内の宿泊施設"
170020,"京都市内の自宅・知人宅, 京都駅周辺, 三十三間堂周辺, 京都駅周辺, 醍醐寺周辺, 京都駅周辺, 京都市内の自宅・知人宅"
100044,"京都市内の自宅・知人宅, 嵯峨野方面, 京都市内の自宅・知人宅"
340054,"阪急駅, 御所周辺, 銀閣寺周辺, 哲学の道周辺, 祇園方面, 河原町・新京極方面, 阪急駅"
220026,"ＪＲ京都駅（在来線）, 松尾大社周辺, 河原町・新京極方面, 修学院・詩仙堂周辺, ＪＲ京都駅（新幹線）"
310499,"ＪＲ京都駅（在来線）, 三十三間堂周辺, ＪＲ京都駅（在来線）"
310440,"ＪＲ京都駅（在来線）, 二条城周辺, 京都駅周辺, 具体的な地名, 具体的な地名, 不明"
50116,"国道１号大津方面, 清水寺周辺, 銀閣寺周辺, 大原・八瀬方面, 国道367号途中方面"
270259,"京都市内の宿泊施設, 京都駅周辺, 伏見周辺, 東福寺周辺, 三十三間堂周辺, ＪＲ京都駅（新幹線）"
160270,None
350597,"ＪＲ京都駅（在来線）, 嵐山方面, 太秦方面, ＪＲ京都駅（在来線）"
330054,"不明, 祇園方面, 鞍馬方面, 京都駅周辺, 不明"
280389,"阪急駅, 御所周辺, 清水寺周辺, 河原町・新京極方面, 阪急駅"
70184,"阪急駅, 御所周辺, 御所周辺, 御所周辺, 清水寺周辺, 祇園方面, 阪急駅"
320066,"その他ＪＲ駅, 二条城周辺, 具体的な地名, 河原町・新京極方面, 阪急駅"
310796,"ＪＲ京都駅（新幹線）, ＪＲ京都駅（新幹線）, 東寺周辺, ＪＲ京都駅（新幹線）, ＪＲ京都駅（新幹線）"
311060,"ＪＲ京都駅（在来線）, 二条城周辺, ＪＲ京都駅（在来線）"
60452,"その他ＪＲ駅, 平安神宮周辺, 河原町・新京極方面, 二条駅周辺, 京都駅周辺, 京都駅周辺"
230124,None
70199,"阪急駅, 御所周辺, 御所周辺, 祇園方面, 阪急駅"
220224,"京都市内の宿泊施設, 嵐山方面, 松尾大社周辺, 嵐山方面, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
160093,None
330313,"不明, 具体的な地名, 具体的な地名, 不明"
330344,"阪急駅, 河原町・新京極方面, 修学院・詩仙堂周辺, 不明"
180124,"京都市内の宿泊施設, 醍醐寺周辺, 嵐山方面, ＪＲ京都駅（新幹線）"
110218,"阪急駅, 大原・八瀬方面, 阪急駅"
230102,None
20595,None
310071,None
230125,None
330331,"京福（叡電・嵐電）駅, 鞍馬方面, 不明"
100023,"名神京都南インター, 松尾大社周辺, 嵐山方面, 嵯峨野方面, 名神京都南インター"
10174,"ＪＲ京都駅（新幹線）, 清水寺周辺, 哲学の道周辺, 銀閣寺周辺, ＪＲ京都駅（新幹線）"
120027,"阪急駅, 衣笠・御室方面, 不明"
240118,"京都市内の宿泊施設, 清水寺周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
160191,"祇園方面, 三十三間堂周辺, 京都駅周辺, 河原町・新京極方面, 不明"
50076,None
350311,"ＪＲ京都駅（在来線）, 嵐山方面, 太秦方面, 具体的な地名, ＪＲ京都駅（在来線）"
110087,"京都市内の宿泊施設, 大原・八瀬方面, 不明"
330025,"京阪駅, 具体的な地名, 阪急駅"
330024,"不明, 哲学の道周辺, 不明"
100245,"ＪＲ京都駅（在来線）, 嵯峨野方面, 河原町・新京極方面, ＪＲ京都駅（在来線）, ＪＲ京都駅（在来線）"
130437,"国道１号大津方面, 大徳寺周辺, 二条城周辺, 平安神宮周辺, 東福寺周辺, 国道１号大津方面"
311172,"その他ＪＲ駅, 祇園方面, 修学院・詩仙堂周辺, 北山通周辺, 大徳寺周辺, 北野天満宮周辺, 金閣寺周辺, 衣笠・御室方面, ＪＲ京都駅（新幹線）"
230263,"ＪＲ京都駅（新幹線）, 高雄方面, 京都駅周辺, 祇園方面, ＪＲ京都駅（新幹線）"
20461,"ＪＲ京都駅（新幹線）, 東福寺周辺, 祇園方面, 嵐山方面, 不明"
170267,"ＪＲ京都駅（在来線）, 清水寺周辺, 嵐山方面, 金閣寺周辺, 平安神宮周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
100022,"ＪＲ京都駅（在来線）, 嵯峨野方面, 御所周辺, 大徳寺周辺, 金閣寺周辺, 北野天満宮周辺, ＪＲ京都駅（在来線）"
240194,"大原・八瀬方面, 清水寺周辺, 国道１号大津方面"
270331,"その他ＪＲ駅, 東福寺周辺, 伏見稲荷大社周辺, 三十三間堂周辺, 京都駅周辺, 不明"
300596,"京都市内の宿泊施設, 大徳寺周辺, ＪＲ京都駅（新幹線）, ＪＲ京都駅（新幹線）"
10769,"京阪駅, 祇園方面, 清水寺周辺, 三十三間堂周辺, 京阪駅"
311469,"阪急駅, 具体的な地名, 具体的な地名, 嵯峨野方面, 嵯峨野方面, 嵯峨野方面, 嵯峨野方面, 下鴨神社周辺"
20274,"阪急駅, 嵯峨野方面, 嵯峨野方面, 嵯峨野方面, 具体的な地名, 不明"
260324,"ＪＲ京都駅（在来線）, 伏見稲荷大社周辺, 東福寺周辺, 不明"
330276,"阪急駅, 鞍馬方面, 阪急駅"
90264,None
90189,None
350122,"京阪駅, 嵯峨野方面, 嵐山方面, 京阪駅"
330057,None
70309,"阪急駅, 御所周辺, 具体的な地名, 阪急駅"
50386,None
20100,"不明, 嵯峨野方面, 名神京都東インター"
130211,"嵯峨野方面, 高雄方面, 衣笠・御室方面, 花園方面, 京都駅周辺, ＪＲ京都駅（新幹線）"
40139,"京都市内の宿泊施設, ＪＲ京都駅（在来線）, 光悦寺周辺, 金閣寺周辺, ＪＲ京都駅（在来線）, ＪＲ京都駅（在来線）"
311170,None
70150,"国道１号大阪方面, 平安神宮周辺, 平安神宮周辺, 平安神宮周辺, 哲学の道周辺, 哲学の道周辺, 平安神宮周辺, 国道１号大阪方面"
150020,"京都市内の自宅・知人宅, 鞍馬方面, 修学院・詩仙堂周辺, 下鴨神社周辺, 河原町・新京極方面, 京都市内の自宅・知人宅"
80443,"阪急駅, 河原町・新京極方面, 河原町・新京極方面, 具体的な地名, 不明, 具体的な地名, 哲学の道周辺, 哲学の道周辺, 具体的な地名"
210205,"京都市内の自宅・知人宅, 下鴨神社周辺, 祇園方面, 京都駅周辺, 京都市内の自宅・知人宅"
100362,"ＪＲ京都駅（在来線）, 高雄方面, 嵯峨野方面, ＪＲ京都駅（在来線）"
200046,"近鉄駅, 北山通周辺, 上賀茂神社周辺, 北山通周辺, 二条城周辺, 国道24号宇治奈良方面"
310358,"京都市内の自宅・知人宅, 京都駅周辺, 近鉄駅, 京都駅周辺, 京都市営地下鉄の駅, 不明"
50235,"京都市内の自宅・知人宅, 銀閣寺周辺, 平安神宮周辺, 哲学の道周辺, 京都市内の自宅・知人宅"
70373,"ＪＲ京都駅（新幹線）, 祇園方面, 御所周辺, 河原町・新京極方面, 哲学の道周辺, 祇園方面, 不明"
220427,"ＪＲ京都駅（在来線）, 松尾大社周辺, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
340201,"ＪＲ京都駅（新幹線）, 御所周辺, 河原町・新京極方面, 哲学の道周辺, 京都駅周辺, 不明"
350377,"京阪駅, 東福寺周辺, 嵐山方面, 北野天満宮周辺, 嵐山方面, 不明"
170152,"その他ＪＲ駅, 伏見稲荷大社周辺, 東福寺周辺, 祇園方面, 京都駅周辺, ＪＲ京都駅（新幹線）"
330088,"ＪＲ京都駅（在来線）, 東福寺周辺, 下鴨神社周辺, 御所周辺, 二条城周辺, ＪＲ京都駅（新幹線）"
20302,"ＪＲ京都駅（新幹線）, 嵐山方面, 嵐山方面, 嵐山方面, 具体的な地名, 嵯峨野方面, 嵯峨野方面, 京都市内の宿泊施設"
330170,"京阪駅, 鞍馬方面, 鞍馬方面, 鞍馬方面, 京阪駅"
190165,"京都市内の自宅・知人宅, 東寺周辺, 京都市内の自宅・知人宅"
50507,"その他ＪＲ駅, 具体的な地名, 京都駅周辺, 金閣寺周辺, 銀閣寺周辺, ＪＲ京都駅（新幹線）"
210401,"京阪駅, 下鴨神社周辺, 京阪駅"
230245,"ＪＲ京都駅（在来線）, 高雄方面, 高雄方面, 京都駅周辺, 不明"
240078,"阪急駅, 祇園方面, 清水寺周辺, 阪急駅"
311163,"京都市内の自宅・知人宅, 光悦寺周辺, 京都駅周辺, 東福寺周辺, 京都駅周辺, 名神京都南インター"
290423,"ＪＲ京都駅（新幹線）, 大原・八瀬方面, 河原町・新京極方面, 京都市内の宿泊施設"
150146,"京阪駅, 鞍馬方面, 修学院・詩仙堂周辺, 京都駅周辺, ＪＲ京都駅（在来線）"
100487,"京都市内の自宅・知人宅, 京都駅周辺, 嵯峨野方面, 河原町・新京極方面, ＪＲ京都駅（在来線）"
